======================================================================
     قائمة الأصناف الكاملة مع أكواد الشركة
     تاريخ الإنتاج: ١٧‏/٧‏/٢٠٢٦
======================================================================

======================================================================
  BR - مواسير وتوصيلات PPR
  مكوّد: 208 | غير مكوّد: 24 | الإجمالي: 232
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  10154   351050004       تى لحام ١,٢٥ بوصه
  10155   351070004       جلبة لحام BR بوصه 1.25
  10156   351080004       طبه لحام BR بوصه 1.25
  10157   361060008       جلبة بسن داخلى ١,٢٥ بوصه BR
  10158   361050007       جلبة بسن خارجي ١,٢٥ بوصه BR
  10159   371060004       محبس بليه ٢ لاكور ١,٢٥ بوصه BR
  10160   351060014       تى لحام BR مسلوبه ١,٢٥ * ٢
  10161   351060005       تى لحام BR مسلوبه ١,٢٥ * ٤ بوصه ٣
  10162   351060006       تى لحام BR مسلوبه ١,٢٥ * ١ بوصه
  10163   351060001       نقاص لحام BR مسلوب ١,٢٥ * ٤ بوصه ٣
  10164   351060001       نقاص BR لحام ١,٢٥ * ١ بوصه
  10165   331020005       متر بولي ١,٥ بن 20 BR
  10166   351020005       كوع لحام ١,٥ بوصه BR
  10167   351050005       تى لحام ١,٥ بوصه BR
  10168   358091004       بطاريه لحام ١,٥ * ١ سوكت BR
  10169   358091003       بطاريه ١,٥ * ١ بي ار
  10170   351070005       جلبة لحام ١,٥ بوصه BR
  10171   351080005       طبه لحام ١,٥ بوصه BR
  10172   351060007       تى لحام BR مسلوبه 1.5 * 2/1
  10173   351060001       نقاص BR لحام ١,٥ * ٢/١ بوصه
  10174   361060010       جلبة بسن داخلى ١,٥ بوصه BR
  10175   361050009       جلبة بسن خارجي ١,٥ بوصه BR
  10176   371060005       محبس بليه ٢ لاكور ١,٥ بوصه BR
  10177   351010005       كوع لحام ٤٥ درجه ١,٥ بوصه BR
  10178   351060008       تى لحام BR مسلوبه ١,٥ * ٣/٤ بوصه
  10179   351060001       نقاص BR لحام ١,٥ * ٣/٤ بوصه
  10180   351060009       تى لحام BR مسلوبه ١,٥ * ١ بوصه
  10181   351060001       نقاص BR لحام ١,٥ * ١ بوصه
  10182   331020005       م ١,٥ BR
  10183   331021105       م ١,٥ بن ١٦ BR
  10184   371060034       مانع ارتداد BR ١,٥ بوصه
  10185   371073015       جلبة ١,٥ لاكور ذكر BR
  10186   371073005       جلبة ١,٥ لاكور داخلي BR
  10187   331050028       م ١,٥ مغلف BR
  10188   358091004       بطاريه ٥٠ * ٣٢ مللي
  10189   331080106       BR م ٢ المونيا
  10190   351020006       كوع لحام ٢ بوصه BR
  10191   351050006       تى لحام ٢ بوصه BR
  10192   331021106       م ٢ بوصه بن ١٦ بي ار
  10193   331020007       متر ٧٥ بي ار بن 20
  10194   351020003       كوع ٧٥ بي ار
  10195   351070007       جلبة ٧٥ بي ار
  10196   351070006       جلبة لحام ٢ بوصه BR
  10197   351040016       مسلوب ٧٥ * ١,٥ بي ار
  10198   351080006       طبة لحام ٢ بوصه BR
  10199   361060011       جلبة بسن داخلى ٢ بوصه BR
  10200   361050010       جلبة بسن خارجي ٢ بوصه BR
  10201   371060006       محبس بليه ٢ لاكور ٢ بوصه BR
  10202   351060011       تى لحام BR مسلوبه ٢ * ٢/١
  10203   351060012       تى لحام BR مسلوبه ٢ * ٤/٣
  10204   351060013       تى لحام BR مسلوبه ٢ * ١
  10205   351060014       تى لحام BR مسلوبه ٢ * 1.25
  10206   351060015       تى لحام BR مسلوبه ٢ * ١,٥
  10207   351060001       نقاص BR لحام ٢ * ٢/١
  10208   351060001       نقاص BR لحام ٢ * ٤/٣
  10209   351060001       نقاص BR لحام ٢ * ١
  10210   351060001       نقاص BR لحام ٢ * ١,٢٥
  10211   351060001       نقاص BR لحام ٢ * ١,٥
  10212   351010006       كوع لحام ٤٥ درجه ٢ بوصه BR
  10213   331020006       م ٢ بوصه BR
  10214   331020006       م ٢ بوصه مغلف BR
  10215   351070006       جلبة ٢ بوصه معزول
  10216   351020006       كوع ٢ بوصه معزول
  10217   351070006       جلبة ٢ بوصه دبل معزول
  10219   371060006       محبس ٢ بوصه بي ار معزول
  10220   371060006       محبس ٢ لاكور مدل بي ار
  10221   351050007       تى ٧٥ بي ار
  10222   351060018       تى ٧٥ * ١ بي ار
  10223   371020001       بطاريه لحام بسوكت ٦٣*٦٣
  10224   351020002       كوع ٣/٤ لحام BR معزول
  10225   351050002       تى ٣/٤ لحام BR معزول
  10226   351070002       جلبة ٣/٤ لحام BR معزول
  10227   351080002       طبه ٣/٤٥ لحام BR معزول
  10228   371073002       جلبة ٣/٤ لاكور معزول
  10229   371060041       مانع ٣/٤ معزول
  10230   331080102       م ٣/٤ المونيا بي ار
  10231   351020002       كوع مفتوح ٣/٤ معزول
  10232   331050028       م ١,٥ معزول بن ١٦ بي ار
  10233   351050005       تى ١,٥ لحام BR معزول
  10234   351070005       جلبة ١,٥ لحام BR معزول
  10235   351080005       طبه ١,٥ لحام BR معزول
  10236   351060009       تى مسلوب لحام معزول ١ * ١.٥ BR
  10237   351040009       مسلوب ١ * ١.٥ لحام معزول
  10238   361060010       جلبة ١,٥ بسن داخلي معزول BR
  10239   361050009       جلبة ١,٥ ذكر معزول BR
  10240   371073035       جلبة ١,٥ بلاكور ذكر معزول BR
  10241   371073025       جلبة بلاكور ١,٥ داخلي معزول BR
  10242   371061115       محبس ١,٥ بلاكور معزول BR
  10243   351020005       كوع ١,٥ لحام BR معزول
  10251   351020004       كوع ١ بوصه لحام BR معزول
  10252   351050003       تى ١ بوصه معزول BR
  10253   351070003       جلبة ١ بوصه BR معزول
  10254   351080003       طبه ١ بوصه لحام BR معزول
  10255   351060003       تى ١ * ٣/٤ لحام BR معزول
  10256   361050006       جلبة ١ خارجي BR معزول
  10257   361060006       جلبة ١ بوصه BR داخلي معزول
  10258   371073023       جلبة ١ بوصه لاكور داخلي معزول BR
  10259   371073033       جلبة ١ بوصه بلاكور خارجي BR معزول
  10260   371061113       محبس ١ بوصه BR بلاكور معزول
  10261   351040003       مسلوب ١ * ٣/٤ BR لحام معزول
  10262   355060002       تى ١ * ٢/١ اسود بي ار
  10263   331050026       م ١ بوصه معزول بن بي ار
  10264   371060031       م مانع ١ بوصه معزول بي ار
  10265   351010003       كوع ١ بوصه معزول ٤٥

  ❌ الأصناف بدون كود (غير موجودة في قائمة الشركة):
  ------------------------------------------------------------------
  [10053]  نبل نيكل ١/٢
  [10055]  بكرة تفلون جامبو
  [10056]  بكرة تفلون
  [10057]  بكرة عازل تيواني
  [10058]  بكرة عازل
  [10059]  افيز ١ بوصه ايطالي
  [10087]  نبل نيكل ١/٢ بوصة
  [10090]  عزل سيكا ١٠٧
  [10091]  شاسيه معلق ايديال ستاندر
  [10092]  خزان دفن جيربت
  [10098]  صندوق دفن جروهي
  [10114]  اسمارت بوكس ٢ زورار اسود
  [10116]  خلاط دوش دفن ٢ مخرج جروهى
  [10117]  خزان - دفن جروهي
  [10147]  بكرة تفلون ايطالي
  [10148]  بكرة تفلون صيني
  [10149]  افيز فيشر ١ بوصة
  [10244]  افيز ٣/٤ اسمارت
  [10245]  افيز ١ بوصه اسمارت
  [10246]  افيز ١,٥ اسمارت
  [10247]  افيز ٢ اسمارت
  [10248]  افيز ٣ اسمارت
  [10249]  افيز ٤ اسمارت
  [10250]  افيز ٦ اسمارت

======================================================================
  سمارت أبيض - صرف SM
  مكوّد: 131 | غير مكوّد: 0 | الإجمالي: 131
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  ------------------------------------------------------------------
  20000   353080011       مشترك عادة ٤ بوصه قصير
  20001   333040002       متر مواسير ٤ بوصه ٣مم سمارت ابيض
  20002   333040003       متر مواسير ٤ بوصه ٤مم سمارت ابيض
