=== أصناف الشركة المذكورة في قائمة الأسعار (PDF) وليست مسجلة في السيستم ===
إجمالي الأصناف المفقودة: 605 صنف من أصل 838 صنف بالملف.

--------------------------------------------------
1. منتجات BR المفقودة (إجمالي 244 صنف):
--------------------------------------------------
 - [كود: 351030003] مم32كرنك لحام BR 60.50 | السعر: غير محدد
 - [كود: 351030013] مم32كرنك قصيرBR | السعر: 67.75
 - [كود: 351040002] 20/32مسلوب لحامBR | السعر: 31.25
 - [كود: 351040004] 20/40مسلوب لحام BR 63.00 | السعر: غير محدد
 - [كود: 351040005] 25/40مسلوب لحام BR 61.50 | السعر: غير محدد
 - [كود: 351040006] 32/40مسلوب لحام BR 61.50 | السعر: غير محدد
 - [كود: 351040007] 20/50مسلوب لحام BR 89.00 | السعر: غير محدد
 - [كود: 351040008] 25/50مسلوب لحامBR | السعر: 88.75
 - [كود: 351040011] 20/63مسلوب لحام BR 147.00 | السعر: غير محدد
 - [كود: 351040012] 25/63مسلوب لحامBR | السعر: 145.75
 - [كود: 351040013] 32/63مسلوب لحامBR | السعر: 144.25
 - [كود: 351040014] 40/63مسلوب لحام BR 146.50 | السعر: غير محدد
 - [كود: 351040015] 50/63مسلوب لحام BR 146.50 | السعر: غير محدد
 - [كود: 351040017] 63/75مسلوب لحام BR 211.00 | السعر: غير محدد
 - [كود: 351040018] 63/90مسلوب لحام BR 281.50 | السعر: غير محدد
 - [كود: 351040019] 75/90مسلوب لحام BR 281.50 | السعر: غير محدد
 - [كود: 351040020] 63/110مسلوب لحامBR | السعر: 691.25
 - [كود: 351040021] 75/110مسلوب لحامBR | السعر: 691.25
 - [كود: 351040022] 90/110مسلوب لحام BR 744.00 | السعر: غير محدد
 - [كود: 351040026] B مم110/160مسلوب لحام BR 1940.00 | السعر: غير محدد
 - [كود: 351050008] مم90تى لحامBR | السعر: 740.75
 - [كود: 351050009] مم110تى لحام BR 1144.50 | السعر: غير محدد
 - [كود: 351050011] مم160تى لحام BR 3180.50 | السعر: غير محدد
 - [كود: 351050022] مم25تى مزدوج لحام BR 42.50 | السعر: غير محدد
 - [كود: 351050202] مم25تى لحام كورنر BR 31.00 | السعر: غير محدد
 - [كود: 351060004] 20/40تى لحام مسلوب BR 122.00 | السعر: غير محدد
 - [كود: 351060005] 25/40تى لحام مسلوب BR 122.00 | السعر: غير محدد
 - [كود: 351060010] 40/50تى لحام مسلوبBR | السعر: 200.25
 - [كود: 351060016] 20/75تى لحام مسلوب BR 399.50 | السعر: غير محدد
 - [كود: 351060017] 25/75تى لحام مسلوبBR | السعر: 410.75
 - [كود: 351060019] 40/75تى لحام مسلوبBR | السعر: 408.75
 - [كود: 351060020] 50/75تى لحام مسلوبBR | السعر: 408.75
 - [كود: 351060021] 63/75تى لحام مسلوبBR | السعر: 408.75
 - [كود: 351060022] 63/90تى لحام مسلوبBR | السعر: 742.75
 - [كود: 351060023] 75/90تى لحام مسلوبBR | السعر: 742.75
 - [كود: 351060024] 63/110تى لحام مسلوبBR | السعر: 1157.75
 - [كود: 351060025] 75/110تى لحام مسلوبBR | السعر: 1188.75
 - [كود: 351060026] 90/110تى لحام مسلوبBR | السعر: 1377.25
 - [كود: 351060027] 90/160تى لحام مسلوبBR | السعر: 3646.75
 - [كود: 351060028] 110/160تى لحام مسلوب BR 3797.00 | السعر: غير محدد
 - [كود: 351070008] مم90جلبه لحام BR 306.00 | السعر: غير محدد
 - [كود: 351070009] مم110جلبة لحامBR | السعر: 693.75
 - [كود: 351070021] 1/2 20جلبة بصامولة متحركةBR | السعر: 139.25
 - [كود: 351070062] 3/4 20جلبة بصامولة متحركة BR 164.50 | السعر: غير محدد
 - [كود: 351080007] مم75طبة لحام BR 214.50 | السعر: غير محدد
 - [كود: 351080009] مم110طبة لحامBR | السعر: 544.25
 - [كود: 351080011] مم160طبة لحامBR | السعر: 2056.25
 - [كود: 351080012] بوصة1/2طبة اختبار BR 8.00 | السعر: غير محدد
 - [كود: 351090001] مم63فﻼنشة لحامBR | السعر: 245.75
 - [كود: 351090002] مم75فﻼنشة لحامBR | السعر: 467.25
 - [كود: 351090003] مم90فﻼنشة لحامBR | السعر: 540.75
 - [كود: 351091001] PP-Rمم20بردة لحام محبس بلية BR 7.00 | السعر: غير محدد
 - [كود: 351091002] PP-Rمم25بردة لحام محبس بليةBR | السعر: 8.25
 - [كود: 351091003] PP-Rمم32بردة لحام محبس بلية BR 12.00 | السعر: غير محدد
 - [كود: 351091004] PP-Rمم50بردة لحام محبس بلية BR 28.50 | السعر: غير محدد
 - [كود: 351091005] PP-Rمم63بردة لحام محبس بلية BR 34.50 | السعر: غير محدد
 - [كود: 351095001] UV اسودPP-Rمم20بردة لحام محبس بليةBR | السعر: 7.25
 - [كود: 351095002] UV اسودPP-Rمم25بردة لحام محبس بليةBR | السعر: 9.75
 - [كود: 351095003] UV اسودPP-Rمم32بردة لحام محبس بليةBR | السعر: 12.75
